"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (°)"
4.245196652E1,6.098776557E1,2.564289658E1,5.566596396E1,1.022522400E0,3.159217506E2,3.802966834E0,4.827970891E0
4.345196176E1,6.098777039E1,2.564287503E1,5.710926700E1,1.096304891E0,3.128667077E2,3.970667531E0,5.121169921E0
4.445195746E1,6.098777013E1,2.564286747E1,5.667896093E1,1.043354583E0,3.066270848E2,3.915994668E0,4.377477044E0
4.545195246E1,6.098777715E1,2.564285836E1,5.680751747E1,1.127862269E0,3.228745490E2,3.930191698E0,4.185174272E0
4.645194817E1,6.098778495E1,2.564284295E1,5.672810076E1,1.197704290E0,3.184191595E2,4.048926827E0,4.164009037E0
4.745194280E1,6.098779226E1,2.564282344E1,5.714747977E1,1.197876748E0,3.248011277E2,3.985615817E0,4.094330637E0
4.845193791E1,6.098779609E1,2.564280063E1,5.728360061E1,1.092313653E0,3.115326139E2,3.977344723E0,4.114083880E0
4.945193410E1,6.098780298E1,2.564278708E1,5.729792387E1,1.110667101E0,3.092665344E2,3.962193326E0,4.085131938E0
5.045192802E1,6.098781435E1,2.564277685E1,5.733552640E1,1.131112549E0,3.162956689E2,3.995960993E0,4.093374511E0
5.145192301E1,6.098782229E1,2.564275833E1,5.715074643E1,1.142922199E0,3.085264544E2,4.129005810E0,4.097257582E0
5.245191813E1,6.098782729E1,2.564273769E1,5.794123870E1,1.114297589E0,3.055528610E2,4.168029109E0,4.089842112E0
5.345191407E1,6.098783433E1,2.564272356E1,5.790229894E1,1.238084267E0,3.034319342E2,4.294261816E0,4.069819644E0
5.445190942E1,6.098784005E1,2.564271023E1,5.771043229E1,1.174633070E0,3.080394882E2,4.324044668E0,4.102279089E0
5.545190394E1,6.098784960E1,2.564269408E1,5.752748279E1,1.223638372E0,3.161069285E2,4.262039032E0,4.149880213E0
5.645189869E1,6.098785701E1,2.564267987E1,5.792118634E1,1.225022569E0,3.094886323E2,4.305250393E0,4.248548274E0
5.745189404E1,6.098786386E1,2.564265048E1,5.848000165E1,1.192267337E0,2.960900896E2,4.373635840E0,4.315292616E0
