"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
7.511601250E-1,9.561798267E-2,-1.400905162E-2,2.877052295E-1
7.611451250E-1,7.704053801E-2,-2.157037854E-2,3.008392453E-1
7.711301250E-1,9.045006730E-2,-1.615439504E-2,2.752331185E-1
7.811161250E-1,1.011938875E-1,-1.460575998E-2,2.343458784E-1
7.911011250E-1,1.018134000E-1,-1.195989490E-2,1.837072366E-1
8.010861250E-1,8.063862216E-2,-1.665170074E-2,1.172717571E-1
8.110721250E-1,5.019136626E-2,-4.074135214E-2,1.066309941E-1
8.210571250E-1,3.301593773E-3,-4.692624450E-2,1.129331231E-1
8.310421250E-1,-2.938850787E-2,-4.916894406E-2,1.053674108E-1
8.410281250E-1,-5.238410868E-2,-3.095925272E-2,6.779027939E-2
8.510131250E-1,-6.872479236E-2,5.190865695E-3,2.051729500E-2
8.609981250E-1,-8.950797122E-2,1.218647450E-2,-1.743932068E-2
8.709841250E-1,-8.648711689E-2,2.170574158E-2,-4.212509573E-2
8.809691250E-1,-1.270428565E-1,4.153511167E-2,-8.180897892E-2
8.909541250E-1,-1.473362214E-1,3.958360344E-2,-7.610502005E-2
9.009401250E-1,-1.597742541E-1,2.893670082E-2,-5.137948394E-3
9.109251250E-1,-1.802515687E-1,2.627153993E-2,4.503876328E-2
9.209101250E-1,-1.784235647E-1,3.471170336E-2,8.271178901E-2
9.308961250E-1,-1.481788965E-1,3.126184613E-2,6.607762992E-2
9.408811250E-1,-1.395859929E-1,2.033953965E-2,3.200122654E-2
9.508661250E-1,-1.658918486E-1,3.655065268E-2,6.178752780E-3
9.608521250E-1,-1.756822438E-1,4.251510501E-2,9.973595738E-3
9.708371250E-1,-1.576706817E-1,5.166950583E-2,2.013722599E-2
9.808221250E-1,-1.553030344E-1,5.240596265E-2,3.395653546E-2
9.908071250E-1,-1.807534608E-1,9.631241262E-3,5.230919123E-2
1.000793125E0,-1.862039795E-1,-2.945505649E-2,7.213476062E-2
1.010778125E0,-1.684617730E-1,-2.559969485E-2,1.351817787E-1
1.020763125E0,-1.602040975E-1,1.264168024E-3,1.878435570E-1
1.030749125E0,-1.262241001E-1,1.368248463E-3,2.239161998E-1
1.040734125E0,-1.481691755E-1,-2.743367404E-2,2.057377911E-1
1.050719125E0,-1.870693308E-1,-5.057870775E-2,1.857028913E-1
1.060705125E0,-1.859936076E-1,-1.419411600E-2,1.554447198E-1
1.070690125E0,-1.540665311E-1,7.045894861E-3,9.606273651E-2
1.080675083E0,-1.227225498E-1,7.728849649E-3,2.975881934E-2
1.090661083E0,-1.251623006E-1,-1.681659222E-3,-3.143813968E-2
1.100646083E0,-1.241807906E-1,1.691014767E-2,-5.819032073E-2
1.110631083E0,-1.299491237E-1,1.549395204E-2,-5.114968836E-2
1.120617083E0,-1.540380990E-1,3.092621595E-2,-2.407532573E-2
1.130602083E0,-1.388178332E-1,3.845041305E-2,3.844193459E-2
1.140587083E0,-1.251673438E-1,2.887530506E-2,8.703054249E-2
1.150573083E0,-1.346342235E-1,6.401824057E-3,9.883899450E-2
1.160558083E0,-1.497057690E-1,3.452488482E-3,8.332867026E-2
1.170543083E0,-1.383806442E-1,-5.500768125E-3,5.560468197E-2
1.180529083E0,-1.026917980E-1,5.547253489E-3,-8.044014573E-3
1.190514083E0,-7.076854041E-2,1.819945872E-3,-5.107893705E-2
1.200499083E0,-6.811704738E-2,-1.173360765E-2,-5.911593497E-2
1.210485083E0,-6.916419234E-2,1.540741324E-3,-2.995879412E-2
1.220470083E0,-6.517516701E-2,4.305801898E-2,-9.414601922E-3
1.230455083E0,-6.708601881E-2,6.454536706E-2,5.944279432E-3
1.240441083E0,-6.973731084E-2,6.892493159E-2,4.216017902E-2
1.250426083E0,-7.560119106E-2,6.316542417E-2,8.272523761E-2
1.260411083E0,-6.774856316E-2,5.083364636E-2,1.203737050E-1
1.270397083E0,-6.790409910E-2,6.712866694E-2,1.735541314E-1
1.280382083E0,-7.513509488E-2,6.289031267E-2,1.889364016E-1
1.290367083E0,-9.370970730E-2,5.519303799E-2,1.403232354E-1
1.300352083E0,-1.091354662E-1,4.437744319E-3,9.160949707E-2
1.310338083E0,-9.964711625E-2,-1.436573178E-2,4.607138157E-2
1.320323083E0,-8.269696997E-2,-1.272646487E-2,3.483946502E-2
1.330308083E0,-1.085701501E-1,-1.625262827E-2,6.376096308E-2
1.340294083E0,-1.191424093E-1,-1.377311647E-2,8.589150488E-2
1.350279083E0,-1.008499799E-1,-9.926818013E-3,1.100510305E-1
1.360264083E0,-6.290778123E-2,-3.669127822E-4,1.593331182E-1
1.370250083E0,-3.883117642E-2,-1.031653494E-2,1.918062150E-1
1.380235083E0,-1.851495255E-2,-3.224388599E-2,2.023797351E-1
1.390220083E0,-5.514180176E-3,-5.905453920E-2,1.690365726E-1
1.400206083E0,-1.200104468E-2,-6.464272320E-2,1.092236495E-1
1.410191083E0,-1.428597210E-2,-7.458357453E-2,5.021588802E-2
1.420176083E0,-3.838982128E-2,-7.511654824E-2,2.123533309E-2
1.430162083E0,-7.753957959E-2,-5.335759699E-2,-2.337307513E-2
1.440147083E0,-1.043737313E-1,-3.991133988E-2,-6.117883265E-2
1.450132083E0,-9.277663786E-2,-4.124275088E-2,-5.812658608E-2
1.460118083E0,-9.036723783E-2,-2.103740484E-2,-7.686398864E-2
1.470103083E0,-8.101783236E-2,-1.240428329E-2,-8.134997249E-2
1.480088083E0,-6.072342591E-2,-1.872658521E-2,-5.243958414E-2
1.490073083E0,-3.494027467E-2,-4.897920191E-3,5.601632595E-4
1.500059083E0,-2.847396679E-2,1.299134374E-2,5.680862367E-2
1.510044083E0,-5.234727122E-2,1.450284898E-2,1.275119859E-1
1.520029083E0,-8.327213500E-2,5.491412580E-3,1.886376089E-1
1.530015083E0,-8.749694930E-2,-1.729343265E-2,2.106167078E-1
1.540000083E0,-5.807076344E-2,-9.285963178E-3,1.963559335E-1
1.549985083E0,-7.699723206E-3,9.196793139E-3,1.517960572E-1
1.559971083E0,-4.932839032E-3,5.782896280E-3,1.344432753E-1
1.569956083E0,-2.392172668E-2,-1.270716906E-2,1.346455890E-1
1.579941083E0,-3.634400843E-2,-3.038885683E-2,1.385825193E-1
1.589927083E0,-3.308148136E-2,-5.251530558E-2,1.453576881E-1
1.599912083E0,-3.200230462E-2,-3.965786308E-2,1.446226931E-1
1.609897083E0,-2.124331819E-2,-1.110357016E-2,1.473457414E-1
1.619883083E0,8.555737305E-3,8.227032423E-4,1.272833598E-1
1.629868083E0,1.179154990E-2,-2.148120850E-2,1.128044844E-1
1.639853083E0,1.841635387E-3,-4.236687809E-2,9.320286334E-2
1.649839083E0,-7.913365848E-3,-3.610655665E-2,7.921573877E-2
1.659824083E0,-4.424880445E-3,-1.259782612E-2,7.153308213E-2
1.669809083E0,-1.784497127E-3,-8.657679856E-3,6.827208996E-2
1.679794083E0,1.028443007E-2,-2.508016974E-2,5.947086096E-2
